사업장명,인허가일자,상세영업상태명,소재지전화,도로명주소,지번주소,위도,경도,업태구분명,의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용명,데이터기준일자
강남뷰티업성형외과의원,2021-08-03,영업중,063-227-2233,"전라북도 전주시 완산구 홍산로 245, 4층 403호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1244-1,35.8155397,127.1054794,의원,의원,1,0,0,284,외과+정형외과+성형외과+이비인후과+피부과,2022-06-30
강남아이앤유성형외과의원,2009-10-12,영업중,063-272-7501,"전라북도 전주시 완산구 유연로 293, 4층 (서신동)",전라북도 전주시 완산구 서신동 864,35.82558265,127.1176813,의원,의원,2,0,0,211,성형외과+피부과,2022-06-30
강남치과의원,1990-05-10,영업중,063-222-7000,전라북도 전주시 완산구 당산로 116 (서신동),전라북도 전주시 완산구 서신동 784-2,35.83200419,127.1209701,치과의원,치과의원,1,0,0,119,예방치과,2022-06-30
강남한의원,2005-09-01,영업중,063-237-1075,"전라북도 전주시 완산구 효자로 266, 3층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 485-44,35.81868325,127.1144876,한의원,한의원,1,0,0,186.11,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
강백규한의원,2012-05-08,영업중,,전라북도 전주시 덕진구 가리내로 254 (덕진동2가),전라북도 전주시 덕진구 덕진동2가 695-5,35.84026302,127.1101251,한의원,한의원,1,0,0,136.8,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
강산한의원,2004-09-09,영업중,063-247-7582,전라북도 전주시 덕진구 안덕원로 254 (인후동1가),전라북도 전주시 덕진구 인후동1가 783-2,35.83633563,127.1547547,한의원,한의원,1,0,0,136.81,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
강성한의원,2003-11-11,영업중,063-236-1075,"전라북도 전주시 완산구 백제대로 218, 강성한의원 2층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 142-11,35.81237954,127.123614,한의원,한의원,1,0,0,355.13,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
강성호피부과의원,2004-06-04,영업중,063-255-8700,"전라북도 전주시 완산구 온고을로 18, 4층 2호 (서신동)",전라북도 전주시 완산구 서신동 970-5,35.834173,127.1210352,의원,의원,2,0,0,0,피부과,2022-06-30
강원택내과의원,1993-05-27,영업중,063-284-9688,전라북도 전주시 완산구 장승배기로 274 (평화동1가),전라북도 전주시 완산구 평화동1가 434-100,35.79880002,127.1422924,의원,의원,1,0,0,0,내과,2022-06-30
강충희제통의원,2002-03-19,영업중,063-244-0073,"전라북도 전주시 덕진구 무삼지로 80, 상가3층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 851-6,35.83263222,127.1631761,의원,의원,1,0,0,167.6,내과+정형외과+신경외과+피부과+비뇨의학과,2022-06-30
강한정형외과의원,2010-12-23,영업중,063-226-5900,"전라북도 전주시 완산구 호암로 59, 3~5층 (효자동2가)",전라북도 전주시 완산구 효자동2가 1317-1,35.80947212,127.1010871,의원,의원,1,7,23,820.73,외과+정형외과+신경외과+이비인후과+가정의학과,2022-06-30
거북이한의원,2000-05-26,영업중,063-224-8575,전라북도 전주시 완산구 효동2길 10 (효자동1가),전라북도 전주시 완산구 효자동1가 201-38,35.80548147,127.1272366,한의원,한의원,1,0,0,154.14,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
건강한치과의원,2016-10-11,영업중,063-253-0075,"전라북도 전주시 완산구 당산로 42, 3층 (서신동)",전라북도 전주시 완산구 서신동 797-3,35.83200585,127.1128639,치과의원,치과의원,1,0,0,195.92,구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과+구강병리과+예방치과,2022-06-30
건지이비인후과의원,2019-11-25,영업중,063-253-7089,"전라북도 전주시 덕진구 소리로 192, 2층 (호성동1가)",전라북도 전주시 덕진구 호성동1가 794-8,35.85788922,127.1530252,의원,의원,1,0,0,165,내과+외과+소아청소년과+이비인후과+가정의학과,2022-06-30
경찰공제회전주의원,1987-02-28,영업중,063-212-2720,전라북도 전주시 덕진구 팔복로 359 (여의동),전라북도 전주시 덕진구 여의동 1137-4,35.8626878,127.0700998,의원,의원,1,0,0,98.4,내과,2022-06-30
경희굿모닝한의원,2020-08-28,영업중,063-224-8899,"전라북도 전주시 완산구 효자천변2길 7, 굿모닝빌딩 2층 204호 (효자동1가)",전라북도 전주시 완산구 효자동1가 454-4,35.80544999,127.1139624,한의원,한의원,2,0,0,118.78,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
경희다솔한의원,1993-05-03,영업중,063-224-5678,전라북도 전주시 완산구 용머리로 166 (효자동1가),전라북도 전주시 완산구 효자동1가 107-3,35.80614511,127.128297,한의원,한의원,1,0,0,295.8,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
경희대범한의원,2022-01-06,영업중,,"전라북도 전주시 완산구 용리로 37, 완산자동차용품할인매장 2층 (삼천동1가)",전라북도 전주시 완산구 삼천동1가 725-14,35.79885603,127.1138233,한의원,한의원,1,0,0,160.38,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
경희한의원,1985-05-06,영업중,063-272-6666,전라북도 전주시 덕진구 안덕원로 158 (인후동2가),전라북도 전주시 덕진구 인후동2가 236-122,35.83308219,127.1455858,한의원,한의원,1,0,0,34,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
고광호한의원,1988-05-26,영업중,063-277-5337,전라북도 전주시 덕진구 송천중앙로 150 (송천동1가),전라북도 전주시 덕진구 송천동1가 481-2,35.86023942,127.1216352,한의원,한의원,1,0,0,85,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
고려내과의원,1994-02-08,영업중,063-254-1122,전라북도 전주시 덕진구 안덕원로 139 (진북동),전라북도 전주시 덕진구 진북동 336-21,35.83218909,127.1437557,의원,의원,1,0,0,110.7,내과,2022-06-30
고려마취통증의학과의원,2005-05-25,영업중,063-285-8875,전라북도 전주시 덕진구 백제대로 686 (인후동2가),전라북도 전주시 덕진구 인후동2가 1529-26,35.84371812,127.1443847,의원,의원,1,0,0,153.68,내과+신경과+정신건강의학과+외과+정형외과+신경외과+마취통증의학과+소아청소년과+안과+이비인후과+피부과+비뇨의학과+재활의학과+가정의학과,2022-06-30
고려치과의원,2016-11-22,영업중,063-287-7528,"전라북도 전주시 덕진구 안덕원로 373, 2층 (산정동)",전라북도 전주시 덕진구 산정동 853-6,35.83960778,127.1673638,치과의원,치과의원,1,0,0,133.19,치과보철과+소아치과+치주과+치과보존과+구강내과+통합치의학과,2022-06-30
고운미소치과의원,1992-01-30,영업중,063-286-2875,"전라북도 전주시 완산구 충경로 38 (중앙동2가, 서석빌딩)",전라북도 전주시 완산구 중앙동2가 26-3,35.81729676,127.1434575,치과의원,치과의원,4,0,0,499.8,예방치과,2022-06-30
고운얼굴의원,2013-12-04,영업중,063-714-2400,"전라북도 전주시 완산구 우전로 260 (효자동2가, 세움 펠리피아 오피스텔)",전라북도 전주시 완산구 효자동2가 1227-3,35.81775047,127.1022718,의원,의원,1,0,0,171,성형외과+피부과,2022-06-30
고은미래의원,2008-06-02,영업중,063-246-7753,"전라북도 전주시 덕진구 아중로 149, 2층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 916-6,35.82630388,127.1658588,의원,의원,1,0,0,295.88,내과+외과+정형외과+성형외과+산부인과+소아청소년과+피부과+비뇨의학과+가정의학과,2022-06-30
고은빛치과의원,2021-07-06,영업중,063-254-2804,"전라북도 전주시 완산구 온고을로 30-30, 2층 201호 (서신동)",전라북도 전주시 완산구 서신동 967-5,35.83461177,127.1198289,치과의원,치과의원,1,0,0,303.39,구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과+구강병리과+예방치과+통합치의학과,2022-06-30
고은이치과의원,2000-04-10,영업중,063-253-7528,"전라북도 전주시 완산구 세내로 546, 2층 (효자동3가)",전라북도 전주시 완산구 효자동3가 1456-3,35.83408227,127.099715,치과의원,치과의원,1,0,0,56.34,예방치과,2022-06-30
고은치과의원,2019-03-12,영업중,063-288-2875,"전라북도 전주시 덕진구 권삼득로 346, 3층 (덕진동1가)",전라북도 전주시 덕진구 덕진동1가 1315-11,35.84583467,127.1250476,치과의원,치과의원,1,0,0,151.77,구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과+구강병리과+예방치과,2022-06-30
고은피부과의원,1997-02-05,영업중,063-271-5550,전라북도 전주시 완산구 당산로 54 (서신동),전라북도 전주시 완산구 서신동 796-5,35.83199509,127.1140538,의원,의원,1,0,0,185.77,피부과,2022-06-30
고창한의원,2012-05-18,영업중,063-225-2249,전라북도 전주시 완산구 안행2길 33 (삼천동1가),전라북도 전주시 완산구 삼천동1가 734-16,35.8013929,127.1284112,한의원,한의원,1,0,0,174.24,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
공감정신건강의학과의원,2021-03-24,영업중,063-213-0200,"전라북도 전주시 덕진구 혁신로 697, 드림프라자 3층 303호 (반월동)",전라북도 전주시 덕진구 반월동 236-3,35.8741267,127.0745609,의원,의원,1,0,0,128.05,정신건강의학과,2022-06-30
곽병찬가정의학과의원,2000-04-26,영업중,063-286-0014,전라북도 전주시 완산구 흑석로 27 (서서학동),전라북도 전주시 완산구 서서학동 285-1,35.80176802,127.1504701,의원,의원,1,0,0,149.92,가정의학과,2022-06-30
곽치과의원,1984-03-24,영업중,063-283-0343,"전라북도 전주시 완산구 충경로 74, 1,2.3층 (경원동1가)",전라북도 전주시 완산구 경원동1가 40-8,35.81844427,127.1473187,치과의원,치과의원,5,0,0,331.41,예방치과,2022-06-30
곽희준한의원,2012-11-26,영업중,063-278-8875,전라북도 전주시 완산구 당산로 50 (서신동),전라북도 전주시 완산구 서신동 796-3,35.83200661,127.1136834,한의원,한의원,1,0,0,195.62,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
구용우치과의원,2012-08-16,영업중,063-232-2875,전라북도 전주시 덕진구 송천로 1 (송천동1가),전라북도 전주시 덕진구 송천동1가 292-7,35.85298273,127.1189031,치과의원,치과의원,2,0,0,216,치과교정과+소아치과+구강악안면외과+치과보철과+치주과+치과보존과,2022-06-30
구치과의원,1990-04-28,영업중,063-222-8958,전라북도 전주시 완산구 용머리로 70 (효자동1가),전라북도 전주시 완산구 효자동1가 281-5,35.80631724,127.1178294,치과의원,치과의원,1,0,0,136,예방치과,2022-06-30
국민내과의원,2016-11-22,영업중,063-228-0575,전라북도 전주시 완산구 신촌3길 19-6 (중화산동2가),전라북도 전주시 완산구 중화산동2가 484-22,35.81647109,127.1158285,의원,의원,1,0,0,492.28,내과+산부인과+소아청소년과+이비인후과+피부과+비뇨의학과+영상의학과+병리과+진단검사의학과+재활의학과+결핵과+가정의학과+예방의학과,2022-06-30
굿닥터 김태광 치과의원,2016-01-04,영업중,063-227-2119,"전라북도 전주시 완산구 홍산로 261, 3층 (효자동2가)",전라북도 전주시 완산구 효자동2가 1239-2,35.81701632,127.1054861,치과의원,치과의원,1,0,0,238.68,치과,2022-06-30
굿맨한의원,2022-03-02,영업중,063-229-9688,"전라북도 전주시 완산구 용리로 177, 세창짜임아파트 상가 2동 111-112호 (삼천동1가)",전라북도 전주시 완산구 삼천동1가 585-10,35.79878944,127.1277128,한의원,한의원,1,0,0,99.84,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
굿모닝비뇨기과의원,1999-05-17,영업중,063-272-1550,전라북도 전주시 완산구 당산로 116 (서신동),전라북도 전주시 완산구 서신동 784-2,35.83200419,127.1209701,의원,의원,1,0,0,125.4,비뇨의학과,2022-06-30
굿모닝의원,2020-05-26,영업중,063-231-8275,"전라북도 전주시 완산구 유연로 282, 2층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 744-2,35.82515133,127.1162645,의원,의원,1,0,0,247.91,마취통증의학과+가정의학과,2022-06-30
굿모닝정형외과의원,2007-01-26,영업중,063-273-0700,"전라북도 전주시 완산구 팔달로 291, 1,3층 (서노송동)",전라북도 전주시 완산구 서노송동 658-3,35.82756004,127.1423154,의원,의원,1,10,29,1244.84,내과+외과+정형외과+신경외과,2022-06-30
굿모닝치과의원,2001-09-25,영업중,063-227-2876,전라북도 전주시 완산구 난전들로 266 (삼천동1가),전라북도 전주시 완산구 삼천동1가 306-1,35.79216729,127.11712,치과의원,치과의원,1,0,0,116.39,예방치과,2022-06-30
권마취통증의학과의원,2016-12-14,영업중,063-213-1122,"전라북도 전주시 완산구 온고을로 20 (서신동, 더존빌딩)",전라북도 전주시 완산구 서신동 970-4,35.83419483,127.1207478,의원,의원,1,0,0,316.23,마취통증의학과,2022-06-30
권철내과의원,1991-05-03,영업중,063-254-6151,전라북도 전주시 덕진구 백제대로 683 (금암동),전라북도 전주시 덕진구 금암동 1595-15,35.84435509,127.1438901,의원,의원,1,0,0,171.16,내과,2022-06-30
권호영한의원,2014-05-07,영업중,063-253-1075,"전라북도 전주시 완산구 기린대로 160, 1층 (중노송동)",전라북도 전주시 완산구 중노송동 499-1,35.82274861,127.1510082,한의원,한의원,1,0,0,70.73,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과+한방응급과,2022-06-30
권환기가정의학과의원,1997-04-12,영업중,063-285-8577,"전라북도 전주시 완산구 견훤왕궁로 72, 2층 (중노송동)",전라북도 전주시 완산구 중노송동 354-26,35.82660714,127.1538754,의원,의원,1,0,0,163.62,내과+정형외과+소아청소년과+이비인후과+피부과+비뇨의학과+가정의학과,2022-06-30
그랜드치과의원,2020-09-02,영업중,063-901-7528,"전라북도 전주시 완산구 백제대로 239-1, 2,3,4,5층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 631-4,35.8145924,127.1225622,치과의원,치과의원,2,0,0,626,구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과+통합치의학과,2022-06-30
그레이스산부인과의원,2022-03-28,영업중,063-227-7887,"전라북도 전주시 완산구 효천중앙로 57, 모악빌딩 204~205호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1377,35.79937512,127.1080597,의원,의원,1,0,0,198.39,정신건강의학과+산부인과+피부과+가정의학과,2022-06-30
그린정형외과의원,2010-11-09,영업중,063-241-1191,전라북도 전주시 완산구 백제대로 46 (삼천동1가),전라북도 전주시 완산구 삼천동1가 743-8,35.79896051,127.1297326,의원,의원,2,0,0,385.18,내과+외과+정형외과+신경외과+소아청소년과+피부과,2022-06-30
그린치과의원,1987-05-02,영업중,063-222-3457,"전라북도 전주시 완산구 백제대로 101 (삼천동1가, 광진목화아파트)",전라북도 전주시 완산구 삼천동1가 585,35.8021877,127.1251898,치과의원,치과의원,1,0,0,85,예방치과,2022-06-30
기분좋은치과의원,2017-03-31,영업중,063-222-4416,전라북도 전주시 완산구 용머리로 50 (효자동1가),전라북도 전주시 완산구 효자동1가 443-2,35.80624814,127.1159519,치과의원,치과의원,1,0,0,220.81,구강악안면외과+치과보철과+치주과+치과보존과,2022-06-30
기적한의원,2010-09-28,영업중,063-232-8275,전라북도 전주시 완산구 문학대2길 16 (효자동3가),전라북도 전주시 완산구 효자동3가 1621-10,35.82548428,127.1036249,한의원,한의원,1,0,0,176.42,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
길연합마취통증의학과의원,2013-04-24,영업중,063-272-8080,"전라북도 전주시 완산구 홍산로 253, 404호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1239-4,35.81638246,127.1054861,의원,의원,3,0,0,396.02,내과+정형외과+신경외과+마취통증의학과+재활의학과,2022-06-30
길재활의학과의원,2009-06-04,영업중,063-242-1113,전라북도 전주시 덕진구 안덕원로 266 (인후동1가),전라북도 전주시 덕진구 인후동1가 784-2,35.83643237,127.1559837,의원,의원,1,0,0,276.41,내과+정형외과+신경외과+마취통증의학과+재활의학과,2022-06-30
길정형외과의원,2000-12-11,영업중,063-242-7785,전라북도 전주시 덕진구 건산로 236 (인후동1가),전라북도 전주시 덕진구 인후동1가 845-2,35.834199,127.1630901,의원,의원,1,12,29,964.52,내과+외과+정형외과+신경외과+소아청소년과+피부과+비뇨의학과,2022-06-30
길한의원,2001-05-30,영업중,063-247-7722,전라북도 전주시 덕진구 안덕원로 266 (인후동1가),전라북도 전주시 덕진구 인후동1가 784-2,35.83643237,127.1559837,한의원,한의원,1,0,0,99.1,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
김경아한의원,1994-02-28,영업중,063-245-4858,전라북도 전주시 덕진구 건산로 242 (인후동1가),전라북도 전주시 덕진구 인후동1가 845-6,35.83440594,127.1638084,한의원,한의원,1,0,0,402,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방재활의학과+침구과,2022-06-30
김경환성형외과의원,2001-10-20,영업중,063-232-8877,전라북도 전주시 완산구 홍산남로 29-7 (효자동2가),전라북도 전주시 완산구 효자동2가 1238-8,35.81603753,127.104989,의원,의원,2,0,0,295.7,성형외과,2022-06-30
김경희소아청소년과의원,2004-10-01,영업중,063-247-7799,"전라북도 전주시 덕진구 세병로 176, 4층 401호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1299-10,35.8788618,127.1331416,의원,의원,1,0,0,99.12,내과+소아청소년과+안과+이비인후과+피부과+비뇨의학과+가정의학과,2022-06-30
김귀룡한의원,2013-10-11,영업중,063-245-1122,"전라북도 전주시 덕진구 건산로 231, 2층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 805-2,35.83451177,127.1625961,한의원,한의원,1,0,0,198.63,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과+한방응급과,2022-06-30
김귀완내과의원,2004-09-02,영업중,063-236-0013,전라북도 전주시 완산구 백제대로 265 (중화산동2가),전라북도 전주시 완산구 중화산동2가 596-13,35.81684402,127.1225613,의원,의원,3,0,0,0,내과,2022-06-30
김동인정신건강의학과의원,1996-02-09,영업중,063-223-7591,"전라북도 전주시 완산구 안행3길 10, 1~3층 (삼천동1가)",전라북도 전주시 완산구 삼천동1가 747-8,35.79961962,127.130959,의원,의원,2,0,0,399.79,내과+정신건강의학과+소아청소년과+이비인후과+피부과,2022-06-30
김문영치과의원,1999-05-27,영업중,063-277-1512,전라북도 전주시 완산구 당산로 102 (서신동),전라북도 전주시 완산구 서신동 785-2,35.83197135,127.1196516,치과의원,치과의원,1,0,0,198.65,예방치과,2022-06-30
김문중내과의원,1992-07-18,영업중,063-277-7001-2,전라북도 전주시 완산구 팔달로 225 (고사동),전라북도 전주시 완산구 고사동 2-6,35.82224441,127.1452596,의원,의원,1,0,0,240,내과,2022-06-30
김미정이비인후과의원,1996-07-11,영업중,063-284-8546,전라북도 전주시 완산구 장승배기로 266 (평화동1가),전라북도 전주시 완산구 평화동1가 408-4,35.79837887,127.1412902,의원,의원,1,0,0,100.98,이비인후과,2022-06-30
김소아청소년과의원,1991-03-29,영업중,063-241-5999,전라북도 전주시 덕진구 견훤로 227 (인후동1가),전라북도 전주시 덕진구 인후동1가 811-5,35.8320377,127.1581606,의원,의원,1,0,0,157.98,내과+소아청소년과+이비인후과+피부과,2022-06-30
김수열재활의학과의원,1995-03-20,영업중,063-254-0165,전라북도 전주시 덕진구 안덕원로 159 (인후동2가),전라북도 전주시 덕진구 인후동2가 236-8,35.83359583,127.1452822,의원,의원,1,0,0,330,재활의학과,2022-06-30
김수홍성형외과의원,1999-04-27,영업중,063-227-8773,전라북도 전주시 완산구 유연로 338 (중화산동2가),전라북도 전주시 완산구 중화산동2가 686-5,35.82500555,127.1220395,의원,의원,1,0,0,158.49,성형외과,2022-06-30
김승룡건치과의원,2014-05-07,영업중,063-714-2879,"전라북도 전주시 덕진구 백제대로 686, 304호 (인후동2가)",전라북도 전주시 덕진구 인후동2가 1529-26,35.84371812,127.1443847,치과의원,치과의원,1,0,0,162.5,구강악안면외과+치과보철과+소아치과+치주과+치과보존과+구강내과+영상치의학과+구강병리과+예방치과,2022-06-30
김앤강치과의원,1993-04-06,영업중,063-243-2875,"전라북도 전주시 덕진구 무삼지로 66, 2층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 855-6,35.83150325,127.1634645,치과의원,치과의원,3,0,0,215.9,구강악안면외과+치과보철과+소아치과+치주과+치과보존과+예방치과+통합치의학과,2022-06-30
김양박이비인후과의원,2001-09-21,영업중,063-226-3232,전라북도 전주시 완산구 용머리로 66 (효자동1가),전라북도 전주시 완산구 효자동1가 285-6,35.80631431,127.1175088,의원,의원,13,10,24,2056.17,이비인후과,2022-06-30
김양호내과의원,2007-03-13,영업중,063-227-7583,전라북도 전주시 완산구 평화로 115 (평화동2가),전라북도 전주시 완산구 평화동2가 184-31,35.78710423,127.1343785,의원,의원,1,0,0,155.1,내과,2022-06-30
김영종한의원,1984-03-14,영업중,063-226-0077,전라북도 전주시 완산구 영경1길 18 (중화산동2가),전라북도 전주시 완산구 중화산동2가 655,35.8178218,127.1247541,한의원,한의원,1,0,0,153,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
김영호치과의원,1993-05-26,영업중,063-278-0501,전라북도 전주시 덕진구 안덕원로 170-1 (인후동2가),전라북도 전주시 덕진구 인후동2가 232-47,35.83385113,127.146491,치과의원,치과의원,1,0,0,68.42,예방치과,2022-06-30
김오환치과의원,2007-03-09,영업중,063-287-2875,"전라북도 전주시 완산구 팔달로 232, 5층 (서노송동)",전라북도 전주시 완산구 서노송동 614-3,35.82290877,127.1455957,치과의원,치과의원,2,0,0,171.9,예방치과,2022-06-30
김옥천치과의원,1993-06-09,영업중,063-251-1691,전라북도 전주시 덕진구 천마산로 19 (송천동2가),전라북도 전주시 덕진구 송천동2가 193-52,35.86393611,127.1236573,치과의원,치과의원,1,0,0,136,예방치과,2022-06-30
김우선마취통증의학과의원,2000-05-16,영업중,063-224-8787,"전라북도 전주시 완산구 용머리로 72, 4층 (효자동1가)",전라북도 전주시 완산구 효자동1가 281-3,35.80628289,127.1180311,의원,의원,1,0,0,223.3,내과+신경과+정형외과+신경외과+마취통증의학과+피부과+재활의학과,2022-06-30
